id,category,text,date
1,networking,OSPF is a link-state routing protocol used to exchange routing information between routers,2026-08-01
2,networking,BGP is a path vector routing protocol used mainly for exchanging routes between autonomous systems,2026-08-02
3,networking,VLANs allow a network to be logically divided into multiple broadcast domains,2026-08-03
4,networking,STP prevents Layer 2 switching loops by creating a loop-free topology,2026-08-04
5,networking,EtherChannel combines multiple physical links into one logical link,2026-08-05
6,python,Python is a high-level programming language commonly used for automation and data processing,2026-08-06
7,python,Functions in Python allow developers to organize reusable pieces of code,2026-08-07
8,ai,Machine learning enables systems to learn patterns from data and make predictions,2026-08-08
9,ai,Embeddings represent text as numerical vectors that capture semantic information,2026-08-09
10,ai,Cosine similarity measures how similar two vectors are based on their direction,2026-08-10
